Original Sher,Translation
मेरे हम-नफ़स मेरे हम-नवा मुझे दोस्त बन के दग़ा न दे मैं हूँ दर्द-ए-इश्क़ से जाँ-ब-लब मुझे ज़िंदगी की दुआ न दे," My fleeting breaths, my eternal renewal, don't turn into a scourge for me as a friend. I am not a prayer for life from the pain of love, nor a pair of lips moving."
दिल अभी पूरी तरह टूटा नहीं दोस्तों की मेहरबानी चाहिए," The heart hasn't completely broken yet, it still needs the kindness of friends."
अब तो जाते हैं बुत-कदे से 'मीर' फिर मिलेंगे अगर ख़ुदा लाया, Now the 'Moin' (a title of respect for a Muslim scholar) departs from
तिरे माथे पे ये आँचल बहुत ही ख़ूब है लेकिन तू इस आँचल से इक परचम बना लेती तो अच्छा था," This Hindi sher (couplet) translates to:

""The veil on your head is very beautiful, but if you had turned this veil into a flag, it would have been better.""

In this sher, the poet appreciates the beauty of the veil on the woman's head but suggests that if she had used it as a flag instead, it would have been even more admirable. The phrase ""parcham banana"" (to turn into a flag) is often used metaphorically in Urdu and Hindi poetry to imply making a bold statement or showcasing one's identity with pride."
मकतब-ए-इश्क़ का दस्तूर निराला देखा उस को छुट्टी न मिले जिस को सबक़ याद रहे," ""The wondrous rule of the book of love: no holiday was granted to the one who remembered everything."""
ज़िंदगी क्या किसी मुफ़लिस की क़बा है जिस में हर घड़ी दर्द के पैवंद लगे जाते हैं," ""Is life not the tomb of a helpless one, in which pains are bonded to every moment?"""
घर से मस्जिद है बहुत दूर चलो यूँ कर लें किसी रोते हुए बच्चे को हँसाया जाए," The mosque is far from home, go and make a crying child laugh."
आईना क्यूँ न दूँ कि तमाशा कहें जिसे ऐसा कहाँ से लाऊँ कि तुझ सा कहें जिसे," ""Why should I not give a mirror, so that I can describe who to bring from where, that looks like you.""

In this sher (a type of Hindi poetry), the speaker is saying that they could use a mirror to show someone what kind of person they are looking for, i.e., someone who looks like the person the speaker is addressing."
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है," The desire for Sarfaroshi (martyrdom/being a patriot) is now in our hearts, it needs to be seen how much force there is in the chest of the oppressor."
दिल के फफूले जल उठे सीने के दाग़ से इस घर को आग लग गई घर के चराग़ से," The flowers of my heart have bloomed from the stains on my eyes, this house has caught fire from its own lamps."
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक," We said don't ignore us, but we will turn to dust before you take notice."
कभी यक-ब-यक तुम्हें ग़म बी ग़म हो जाता कभी ज़िंदगी तो किसी की ज़िंदगी हो जाती," Sometimes, your sadness becomes unbearable
Sometimes, life turns out to be someone's life."
